"%%#%#%%%##%%%####%%#%%##%%%%%####%%%####","%%#%#%%%#%%%##%%%%#%%#%##%#%%##%#%##%%##","%%%%%%%%%%%%%%%%#%%%#%%%%%#%#%%%%%%%%%%%","%%#%%%#%%%%#%%#%%%%%%%#%%%%#%#%%%%#%%%%%","%%%#%%#%%%%%%#%##%%%%%##%%%%%%%#%#%#%%%%","#%%%%%%%%%%%%%%%%%%%#%%%%%%%%%#%%%%%%%#%","%%%#%%%%%#%%%%%%%%%%%%%%%%##%%%#%#%#%%%%","#%%%%%%%%%#%#%%%%%%%%%%%%%%#%#%%%%%%%%%%","#%%%%#%%%%%%%%%%%%%%%%%%#%%%#%%%%#%#%#%%","%#%%%%%%#%%%%%%%%#%%%%#%#%%%#%%%%%%%#%%%","%%%%%%%%%%%%%#%%##%%%%%%%%#%%%%%%%%%%%%%","%%%#%%##%%%%%%%%%%#%%%%%%%%%%%%%%%%%%%%%","#%%%#%#%%%%#%%%%%%%%%%#%%%%#%#%%%%%%%%#%","%%%%%%%%%%%#%%%%%%%%%%%%%%%#%%#%%#%%%%%#","#%#%#%###%%%#%%%%%%##%%%###%%##%%%#%#%##","%%%#%%%%%%%%#%%%%%#%%%%%%%%#%##%#%%%%%%#","#%%%#%###%%%%%#%%##%#%%%#%%%%%%%%%%%##%%","##%##%%%%%#%#%###%%%%%%%#%%%#%%%%%%#####","%%##%%%%%%%%%%%#%%%%%%#%%%%%%%%%%%%%%%%%","%%%##%###%%###%##%######%%##%%%%##%%#%%#"
"%%%%%#%%%#%%##%%%%#%%%%%%%%#%%","##%%%%#%%%%%%%%%%%##%%%%%%%#%%","%%%%#%%%%#%%#%%%%%%%%%%###%%%%","%#%%%#%#%%%%%%%%%%%%##%%%%##%%","%%%%#%#%%%%%#%%%%%#%%#%%%%#%%%","%%%%#%%%%%%%#%%###%%#%%%%%%%%%","%%%%%#%%%%%#%%%%%%%%%#%%%%#%%%","#%%%%%%%%%%%%%%%%#%#%%%%%%%#%%","%##%%%%%%%%%##%%%%%%%%%%#%#%%%","%%%%#%%%%%%%%%%%%#%%%%#%%%#%%%","%%##%#%%#%%%%%##%%%##%%%#%%%%#","%%#%%%%%%%#%%%%%%%%%#%##%%%##%","%%%%#%%%%#%#%%%%%%%#%%%%%%%#%%","%%%#%%#%%%#%%%##%%%#%%#%#%%%%%","%%%%%%%%%%#%%%%%#%##%%%%%%%%%%","%#%%#%%%#%%%%%%%#%%#%%%%%%%#%#","%%%#%%%%%%##%#%%%%#%%%%%%%%%%#","#%%##%##%#%%#%%###%%%#%%%%%%#%","#%####%%%%%%##%###%%#%%##%%%#%","%%%%%#%%%%##%%##%#%%###%##%%%#"
"%%%%###%#%##%#%%##%%##%%##%#%%##%%%%###%","%%###%%%%%%%%%%#%%#%###%%%%%%%%%%%%%%%%%","%%%%#%%%%%%%#%%%%%%%#%%%%%%%%%%#%#%%#%%%","%%%#%%#%%%%%%%#%%#%%#%##%%#%%%%%%%%%%%%%","%%%%%%%%%#%%#%%%%%%%%%##%%%%%%%%%%%%%%%%","#%%%%%%%%%%%%%%%#%%#%%#%%%%%%###%%%%%%%#","#%%%%#%%#%%##%%%##%%%%%%%%%%%%%#%%%%%%%#","%%%%%%%%%#%%%%%%%%#%%%%%%%%%%%#%%%%#%#%%","%%%%%%%%%%%%%%%%%%##%%%%%%%%#%%#%%#%%%%%","%%%%##%%%%%%%%%%%%%%#%%%%%%%%%%%%%%%#%%%","#%%%%%%%%%%%%%%#%%%%%#%#%%%%%%%%%#%%%%%%","%#%%#%#%%%%%%#%%%%#%%%#%%%%%%%#%%%%%%%%#","%#%%%%%#%%%%%%%%%%#%%%%%%%%%%#%%%%%%%%%%","%%%##%%%%%%%%%%#%#%%%%%#%%%%%#%%%#%#%%%#","#%%%%#%%%%##%%%%#%#%%%%%%%%#%%%%%#%%%#%%","%%%%%%%%%#%%#%%%#%%#%%#%%%%%%%%%%%#%#%%%","%#%##%#%%%%%%%%%%%%%%#%%%%%%%%%%%#%%%%%%","%%%#%#%%%%##%%%#%%%%%%#%%%%%%%%%%%%%%%%%","%%%%#%#%#%#%%#%%%%%%%%##%%%%%%%%#%#%%#%%","%%%%%%%%%%%%%%%%%%%%%%#%%#%%%%%#%%%#%%%%"
"#%##%#%%%%#%#%%%%#%%%%%#%#%%##","#%%%%%%%%%%%#%%%%%%#%%%%%%%#%%","#%%#%%%%%##%%%%#%%%%%##%%%%%##","%%%#%%%#%%%%%%%%#%%%%#%#%%%%#%","%%%%%%%#%%%#%%%%%%%#%#%%%#%%%#","###%%#%%%%##%%%#%%%%%%%###%%#%","#%%###%#%##%###%%%####%%#%####","#%%%%%%%%%%%%%%###%#%%%###%#%#","%%%##%%%%%%##%#%%%%#%%%#%%%%%%","#%%%#%#%##%%##%%%%%%%%%##%%%%%","##%%%%%%%%%%%#%##%%#%%#%%%##%%","##%%#%%%%%%%%%%%%%%%%%%%%%%%%#","%#%%##%######%###%%%%#%%%%#%%%","%%%%%#%%%%%#%%%%%#%%%#%%%%#%%%","%%%%#%#%%%%#%%%%%%#%##%%%%%%#%","%%%%%#%%%%%#%#%%%#%%%%%#%%%%%%","%%%%%#%%%%%%%%#%%#%%%%#%%%#%%%","%%%%#%%%%%%%%#%%#%%%#%%%%%%%%%","%%%%#%%#%#%%%#%%#%#%%#%%%%%%%%","%%#%%#%##%#%%#%##%#%%%%%#%%%%%"
"%#%#%%%%%%%#%%%%%%%%%%%%%%%%%%%#%%%%%%%%","%%%%%%#%%#%%%#%%%%%%%%#%%%%%#%%%%%%%#%%%","%%%%%%%%%%%%%%%%%%#%%%%%#%%%%%#%%#%%%%%%","%%#%%%%%%%%%%%#%#%%%#%%#%%%%%%%%%%%%%%%#","##%%%%%%%%#%%%%%##%%##%%%%%#%%%%#%%%%%%#","%%%%#%%%%%%%%%#%%%%##%%%%%%%%%%#%%%%%%%%","%%#%%%%#%#%%%%%%#%#%%%%#%%%%%##%%#%%#%%%","%%%%%%%##%%%%%%%%%%%%%%%%##%#%%%%%%%%%%#","%%%%#%%%%##%%%%%%##%%%#%#%#%%%%%%#%%%%%%","%%%%%#%#%%%%%%%%%%%%%%%%%%%%##%%%%%#%%%%","%%%#%%%%%%%%%%%%%%%%%%%%%#%%%%%%%%%%%##%","%%%%%%%%%%#%%%%%%%%%%%%%%%##%#%%#%%%#%%%","%##%%%%%#%#%%%%%%%##%%%%%#%%%#%%%#%%#%%#","%#%%%%%%%%%%%%%%%%%%%#%%%%%%%%#%%##%%%#%","%%%%#%#%%#%#%#%%%%%%#%%%%%%%%%##%%%%%%%%","%%%%%%%%%%%%#%%%%%%%%%#%#%%#%#%%%%%#%%%%","#%%%%#%#%%#%%%%##%#%%%%###%#%###%%%%%##%","%##%%#%##%%#%#####%%###%#%%#########%#%#","%%%%%%%%%%%%%%%%%%%#%%%%%#%%%%%%###%%#%#","#%#%%%%%%%%%%#%%%%#%%#%%%#%%%%%%#%%%%%%%"
"%#%%%%%%%%%%%#%%#%%%%%%%%%%#%%","%%%%%%%%%%%%%%%#%%#%%%%#%%%%##","%%%%%%##%%%%%#%%%%%#%#%%%%%%%#","%%#%####%%%%%#%%%%#%#%%###%##%","%%%%%%%%%%%%#%%%%%%%#%#%%%#%#%","#%%%#%%%%%%%%%%%%%%#%#%%%%%#%%","%%%#%%#%#%%%%#%%#%%%%%%%%%%%%%","###%#%%%%%%%%%####%%%###%%%%%%","#%%%%%%%%%%#%%%%#%%%%%#%%%%%%%","%%%#%%%%%%%%%%##%%%%%#%%%%%%%#","%%%##%%%%%%%%#%%%%%%%#%%%%%%%%","%%%%%%%%%#%%#%#%%%%%%%%%#%%%%%","%%%%%%%#%%%%#%%%%%%%%%%%%%%%##","%%%%##%%%%%%%%%%%%%%%%%%%####%","%%%%%%%#%%%%%%%%#%%#%%%%#%%%%%","%#%%%%%%#%%#%%%%%%%%#%#%%#%%#%","%##%%%%%%##%%#%%%%%%%%#%#%%%%%","#%%%%#%%#%#%%%#%%%%%%%%%#%%%%%","##%##%%%%%#%%%#%%%%###%##%%#%#","#%%%%%%%%%#%%%#%#%#%%%%%%%%%%%"
"%#%%%%##%#%%%%%%###%%%%%%%#%%%%%%##%%#%%","%%%%%#%%%%%%%%%#%%%%%%%%%##%%%%%#%%%%%%%","%%%%#%%%%%%%%%%%%%%###%%##%%%%%%%%%%%%%%","#%%%%%%%%%%%%%%%%%%%#%%##%%%%%%%%%%%%%%%","##%%%%%%%%%%%%%%#%#%%%%%%%%#%%%%%%%%%%%%","%%#%%%%%#%%%%%%%%%##%%%%%%%#%%%%%#%%%%%%","%%%%%%%%%%%##%#%%%%%%%%%%#%%%%%%%%%%%%%%","%%%#%#%##%#%%%%%%#%#%%#%#%%#%##%%%%%%%#%","%%##%%#%%%#%##%%%%#%%%#%%%%%%%%%%%%%%%%%","%#%%#%%%%%%%%#%%%%%%%%%%%%%%%#%%%%%%%%%%","%%%%%%#%%%%#%%%%%%%%%%%%%%%%%##%%%%%#%%%","%%#%#%%#%#%%#%%%%%##%#%%%#%#%%%%%%%%#%%%","%%%##%%%%%%%#%###%%%%%%%%%%%%%%%%%%%%%#%","%%%%##%#%%%%##%%%%%%%%%%%#%%%%%#%%%%%#%%","%%%%%%#%%%%%%#%%%##%%#%%%%%%%%%%%#%#%%%%","%%%%%%%%%#%%%%%%%%%%%%%#%%%%%%%%#%#%%%%%","%%%%%%%%%%####%%%%%%%%%%%%#%%%%%%%%%%%%%","%%%%%%%%%%%%%%%%%%%%%%%%%%%#%%%%%%##%%#%","%%%%%%%#%#%%%%%%%%%#%%%%#%##%%%%%%#%#%%%","%%#%%%%%#%%%%%%%#%%%%#%%%%%%%%%%#%##%%%%"
"%%%%%%%%%%%%#%%##%%#%%%%%%%%%%","%##%%%%#%#%%%%%#%%%%##%#%#%%%%","###%%%#%#%%%%%%%%##%#####%#%##","%%%%%%#%%#%##%%%#%%%%#%#%###%%","#%%%%%%%#%%%%#%%%%##%%%%%#%%#%","#%##%###%#%%#%%#%#%%##%%%%#%%%","%%%%#%%%%%#%%%%%%%#%%%%%%#%%%%","%%%#%%%%%#%##%%#%#%%##%%#%%%%#","#%%%#%#%%#%#%#%#%%%%%%%%%%#%%%","#%%%%%%%#%#%###%%#%%%%%%%#%#%%","%%%%%%%%%%%#%%#%#%%%%%#%%%%%%%","#%%%%%%%%%%%%%%%##%%%#%%%%%%%%","#%%%#####%#%#%%####%#%#%%%%#%#","%#%#%%%%%%%%%#%%##%%%%%#%%%%##","#%%#%%%##%%%%%%%%%%%%%%%%%%#%%","%%%%#%%%#%%%%%#%%%%%#%%%%%%%%%","#%%%#%%%%%%#%%%%%%#%%%%%%%%%%%","%%%%%%%%%%%%%%#%%%%%%#%%%#%#%%","%%%%%%#%#%%%%%%%%%%%##%%%%%%%%","##%###%%%##%###%%%%%%%%%%%%%#%"
"%%%%%%%%%%%%%#%%%%%%%%#%%%#%%%#%%%##%%%%","#%#%%#%%%%%%%%#%%%%%%%#%%%%#%%%#%%%%##%%","##%%#######%#%#%%#######%##%%%#%%######%","#%%%%%%%%%%%%%%%%#%%%%%%%%%%%%#%%#%%%%%%","%%%%%%%##%%####%%%####%#%%#%%#%#%#%#%%%%","%#%#%#%%%#%%%#%%%#%%%##%%%%%#%%%%%%%%#%%","%#%%#%##%%%%%%%%%#%%%%%%%%#%%%#%%%%%%%%%","%#%%##%%%%%%%%%##%##%#%%%#%%%#%#%%##%#%%","%%%#%%%%##%%#%#%%%##%#%%#%###%%%%%%#%%%%","#%%#%####%###%#%#%%#%####%%#%#%%##%%#%%#","%%%%%%%%%%%%%%%##%%%%%%%#%%%#%%%%%%%%#%%","%%%%%%%#%%#%%%%%%%%%%%#%##%%%%%%%#%#%%#%","%%%%%%%#%%%%%##%%%%%%%%%%%%%%%%#%%%%%%%#","#%#%#%%%##%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%","%%%%%%%%%%%#%%%%#%%#%%%%%%%%%%%%%#%%%%%%","%#%%%%%#%#%%%%%%%%%%%#%##%%%%%%%%#%%%%%%","#%%%#%%%%%%%%#%%%%%%%%#%#%%#%%%%%%%#%%%%","%%%%%%%%%%%#%%#%%%%%#%%%%%%%%#%%#%%%#%%%","#%%%%%%%%%%%%%#%%%%%%%%%#%%%%#%%#%%%%%%#","#%%%%%%%%%%%#%%%%%%%%%%#%%%#%%%%%%%#%%%%"
"%%%%%#%%%#%#%%%%%%%#%%%%%%%%%%","%%%%#%%%#%%%#%%#%%%%%%%%%%#%%#","%%##%%%%###%%%%%%%%%%%%%%%%%%%","%##%%%%%##%%%#%%##%#%%%%%%#%%%","%%#%%%#%%%#%%%#%#%%%%%%%%%#%%%","%%%%##%%%%%%%%%#%%#%%#%###%%#%","%%%%%%%%%%%%#%%%#%%#%%%%%%%#%%","#%%%%%%%%%%%%%%%###%%%%#%%%%%#","%%%%%%%%#%%#%%#%%%%%%%%%##%%%%","#%%%%%%%%%%##%%%%%%%%%%%%%%%#%","#%%%#%#%%%%%%%%%#%%%%%%%%%%%%%","#%###%%#%%%%#%%##%%#%%%%#%%%#%","#%%%%%%%%#%#%#%%%%%#%%%#%%%%%#","#%##%%#%##%##%%%%#######%#####","%###%%###%#%##%%%#%##%##%%#%#%","%%%%%%%%%#%%%%%#%#%%%%%%%%#%%%","%%%%%#%%%%%%%%%%%%%%#%%%%%#%#%","%%%%%#%%%#%%%%#%%%%%%%#%%%%%%%","#%#%%%%%%%%%%%%##%%%%%%#%#%%%%","%##%%%%%%%##%%%#%%%#%%%%#%####"
